# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
51200 100 0.00116016629687936
51712 101 0.00116232908889692
52224 102 0.00116452123163018
52736 103 0.00116671232323739
53248 104 0.0011688889010299
53760 105 0.00117107247891731
54272 106 0.00117329007999952
54784 107 0.00117553664641461
55296 108 0.00117781266188114
55808 109 0.00118011352222709
56320 110 0.00118242365287695
56832 111 0.00118474014733444
57344 112 0.00118705414105145
57856 113 0.00118935378893811
58368 114 0.00119163089908023
58880 115 0.00119384757150008
59392 116 0.00119599396558242
59904 117 0.00119808281015777
60416 118 0.00120009059435725
60928 119 0.00120199983979971
61440 120 0.00120383240458354
61952 121 0.00120556357314375
62464 122 0.00120718038959047
62976 123 0.00120869341866417
63488 124 0.00121009647731726
64000 125 0.00121138614710857
64512 126 0.00121256950468237
65024 127 0.00121365051028447
65536 128 0.00121461832205304
66048 129 0.00121547458248566
66560 130 0.00121622659305582
67072 131 0.00121686280898049
67584 132 0.00121738034078943
68096 133 0.00121778389747062
68608 134 0.00121808095136235
69120 135 0.0012182546238905
69632 136 0.0012183067343667
70144 137 0.00121825719183218
70656 138 0.00121809293262316
71168 139 0.00121780996898596
71680 140 0.00121741950371385
72192 141 0.00121693385246857
72704 142 0.0012163416387357
73216 143 0.0012156453514801
73728 144 0.00121486185064288
74240 145 0.00121399312730656
74752 146 0.0012130388701412
75264 147 0.00121199793756935
75776 148 0.00121088762852986
76288 149 0.00120971151882915
76800 150 0.00120845968329455
77312 151 0.00120714806436036
77824 152 0.00120578752110831
78336 153 0.00120437228072491
78848 154 0.0012029054676338
79360 155 0.00120140235225215
79872 156 0.00119985827753115
80384 157 0.00119828243853968
80896 158 0.00119668513190259
81408 159 0.00119506161321726
81920 160 0.00119341731322444
82432 161 0.0011917593194687
82944 162 0.00119008920901528
83456 163 0.00118840266852841
83968 164 0.00118670801537441
84480 165 0.00118501423813681
84992 166 0.00118331504645736
85504 167 0.00118161169785542
86016 168 0.00117991464818087
86528 169 0.00117823183416786
87040 170 0.00117655342920291
87552 171 0.001174882533396
88064 172 0.00117323505498587
88576 173 0.0011716030703181
89088 174 0.00116997967305836
89600 175 0.00116837230117682
90112 176 0.0011667853616612
90624 177 0.00116520952858646
91136 178 0.00116364387871813
91648 179 0.00116209461945995
92160 180 0.00116056122166269
92672 181 0.00115904612861339
93184 182 0.00115754456469093
93696 183 0.00115606826917358
94208 184 0.00115462172735526
94720 185 0.0011532010188102
95232 186 0.00115181656817056
95744 187 0.00115047371650388
96256 188 0.00114917288520549
96768 189 0.00114791972105111
97280 190 0.00114672251458228
97792 191 0.00114557720698033
98304 192 0.00114448847123064
98816 193 0.00114346786593078
99328 194 0.00114250713373503
99840 195 0.00114160924199086
100352 196 0.00114078281656764
100864 197 0.00114002783357703
101376 198 0.00113933908415885
101888 199 0.00113871776727547
102400 200 0.00113817493811553
102912 201 0.00113770548542297
103424 202 0.00113730016486261
103936 203 0.0011369702833508
104448 204 0.00113672179434771
104960 205 0.00113654259465148
105472 206 0.00113643316304217
105984 207 0.00113640342234282
106496 208 0.00113644805693744
107008 209 0.00113655992673222
107520 210 0.00113674113443093
108032 211 0.00113699588731538
108544 212 0.00113731850233944
109056 213 0.00113770168312118
109568 214 0.00113815066188683
110080 215 0.00113866211933035
110592 216 0.0011392317849946
