# 1D ASCII output created by CarpetIOASCII
# created on socket.local by bennie on Dec 05 2011 at 11:24:42+0100
# parameter filename: "ks-mclachlan.par"
# Build ID: build-cosmo-socket.local-bennie-2011.12.01-16.32.36-15768
# Simulation ID: run-ks-mclachlan-socket.local-bennie-2011.12.05-10.24.40-17777
# Run ID: run-ks-mclachlan-socket.local-bennie-2011.12.05-10.24.40-17777
#
# ML_BSSN::ML_GAMMA x (ml_bssn::ml_gamma)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:Xt1 14:Xt2 15:Xt3
0	0	1 0 0	25 36 36	0	-11 0 0	-0.0213002008690085 0.00119098580363915 0
0	0	1 0 0	26 36 36	0	-10 0 0	-0.0256770831733127 0.00158250168854426 0
0	0	1 0 0	27 36 36	0	-9 0 0	-0.0315526455803179 0.00216592230466446 0
0	0	1 0 0	28 36 36	0	-8 0 0	-0.0396951465406826 0.00307457236212736 0
0	0	1 0 0	29 36 36	0	-7 0 0	-0.051431793027959 0.00457019839940768 0
0	0	1 0 0	30 36 36	0	-6 0 0	-0.0692069452183539 0.00721466746886147 0
0	0	1 0 0	31 36 36	0	-5 0 0	-0.097868052059497 0.012372664527412 0
0	0	1 0 0	32 36 36	0	-4 0 0	-0.147509648669682 0.0240951432438982 0
0	0	1 0 0	33 36 36	0	-3 0 0	-0.216309435606057 0.0566295133758705 6.51723687997635e-17
0	0	1 0 0	34 36 36	0	-2 0 0	-0.737535237238259 -0.0733806243542862 0
0	0	1 0 0	35 36 36	0	-1 0 0	-1.14865864106048 0.225456135178785 0
0	0	1 0 0	36 36 36	0	0 0 0	0 7.40148683083438e-17 0
0	0	1 0 0	37 36 36	0	1 0 0	0.212934468683025 -0.079071825704179 0
0	0	1 0 0	38 36 36	0	2 0 0	0.328048327159799 -0.110334986656117 0
0	0	1 0 0	39 36 36	0	3 0 0	0.247212445183274 -0.0435312337335682 0


# iteration 1   time 0.2
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:Xt1 14:Xt2 15:Xt3
1	0	0 0 0	0 36 36	0.2	-36 0 0	0.00388522625895002 -9.07224620356401e-05 9.98366545785723e-22
1	0	0 0 0	2 36 36	0.2	-34 0 0	0.00402598629846432 -8.53685685389496e-05 1.73120923969809e-19
1	0	0 0 0	4 36 36	0.2	-32 0 0	-0.00680584366585387 0.000125243107337859 -9.48903808538167e-20
1	0	0 0 0	6 36 36	0.2	-30 0 0	0.00680584366585387 -0.000125243107337859 -9.48903808538167e-20
1	0	0 0 0	8 36 36	0.2	-28 0 0	-0.00402598629846432 8.53685685389496e-05 1.72985398698248e-19
1	0	0 0 0	10 36 36	0.2	-26 0 0	-0.00388522625895003 9.072246203564e-05 9.98366545785723e-22
1	0	0 0 0	12 36 36	0.2	-24 0 0	-0.00455967342828315 0.000115419165075999 -1.28211420579441e-20
1	0	0 0 0	14 36 36	0.2	-22 0 0	-0.00541782208396283 0.000149758329723659 -5.71852983438315e-20
1	0	0 0 0	16 36 36	0.2	-20 0 0	-0.00654269925231397 0.000199171950889118 -3.16129499964788e-20
1	0	0 0 0	18 36 36	0.2	-18 0 0	-0.00805710400186483 0.000272915899807822 -5.69303485254952e-20
1	0	0 0 0	20 36 36	0.2	-16 0 0	-0.0101631397156479 0.000387988686580719 7.51133833459225e-20
1	0	0 0 0	22 36 36	0.2	-14 0 0	-0.0132119254077224 0.000577902683372185 -6.61363325216158e-20
1	0	0 0 0	24 36 36	0.2	-12 0 0	-0.0178548525900014 0.000915492077933457 1.30104260698261e-20
1	0	0 0 0	26 36 36	0.2	-10 0 0	-0.025400475538326 0.00155689515580476 4.33680868994202e-21
1	0	0 0 0	28 36 36	0.2	-8 0 0	-0.0387676424331075 0.00322865464997487 4.33680868994202e-21
1	0	0 0 0	30 36 36	0.2	-6 0 0	-0.0627296601191081 0.00880484866956903 2.75976604754306e-19
1	0	0 0 0	32 36 36	0.2	-4 0 0	-0.0554426183265427 -0.0169144764625692 0
1	0	0 0 0	34 36 36	0.2	-2 0 0	-0.743883534219904 -0.0930475093295233 9.68321169865918e-19
1	0	0 0 0	36 36 36	0.2	0 0 0	6.59603027935372e-18 -1.24621364964715e-17 5.69079546543265e-19
1	0	0 0 0	38 36 36	0.2	2 0 0	0.743883534219904 0.0930475093295234 9.68321169865918e-19
1	0	0 0 0	40 36 36	0.2	4 0 0	0.0554426183265427 0.0169144764625692 0
1	0	0 0 0	42 36 36	0.2	6 0 0	0.0627296601191081 -0.00880484866956903 2.8465022213419e-19
1	0	0 0 0	44 36 36	0.2	8 0 0	0.0387676424331075 -0.00322865464997487 0
1	0	0 0 0	46 36 36	0.2	10 0 0	0.025400475538326 -0.00155689515580476 6.50521303491303e-21
1	0	0 0 0	48 36 36	0.2	12 0 0	0.0178548525900014 -0.000915492077933454 1.51788304147971e-20
1	0	0 0 0	50 36 36	0.2	14 0 0	0.0132119254077224 -0.000577902683372184 -6.72205346941013e-20
1	0	0 0 0	52 36 36	0.2	16 0 0	0.0101631397156479 -0.000387988686580718 7.56554844321652e-20
1	0	0 0 0	54 36 36	0.2	18 0 0	0.00805710400186483 -0.000272915899807823 -5.69303485254952e-20
1	0	0 0 0	56 36 36	0.2	20 0 0	0.006542699252314 -0.000199171950889153 -3.16129499964788e-20
1	0	0 0 0	58 36 36	0.2	22 0 0	0.00541782208396283 -0.000149758329723659 -5.71852983438315e-20
1	0	0 0 0	60 36 36	0.2	24 0 0	0.00455967342828315 -0.000115419165075999 -1.28211420579441e-20
1	0	0 0 0	62 36 36	0.2	26 0 0	0.00388522625895002 -9.07224620356401e-05 9.98366545785723e-22
1	0	0 0 0	64 36 36	0.2	28 0 0	0.00402598629846432 -8.53685685389496e-05 1.73120923969809e-19
1	0	0 0 0	66 36 36	0.2	30 0 0	-0.00680584366585387 0.000125243107337859 -9.48903808538167e-20
1	0	0 0 0	68 36 36	0.2	32 0 0	0.00680584366585387 -0.000125243107337859 -9.48903808538167e-20
1	0	0 0 0	70 36 36	0.2	34 0 0	-0.00402598629846432 8.53685685389496e-05 1.72985398698248e-19
1	0	0 0 0	72 36 36	0.2	36 0 0	-0.00388522625895003 9.072246203564e-05 9.98366545785723e-22


# iteration 1   time 0.2
# time level 0
# refinement level 1   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:Xt1 14:Xt2 15:Xt3
1	0	1 0 0	3 36 36	0.2	-33 0 0	nan nan nan
1	0	1 0 0	4 36 36	0.2	-32 0 0	nan nan nan
1	0	1 0 0	5 36 36	0.2	-31 0 0	nan nan nan
1	0	1 0 0	6 36 36	0.2	-30 0 0	nan nan nan
1	0	1 0 0	7 36 36	0.2	-29 0 0	nan nan nan
1	0	1 0 0	8 36 36	0.2	-28 0 0	nan nan nan
1	0	1 0 0	9 36 36	0.2	-27 0 0	-0.00361033628718941 8.1139282685068e-05 -2.71050543121376e-19
1	0	1 0 0	10 36 36	0.2	-26 0 0	-0.00389133619696141 9.08541389565936e-05 2.18552360380196e-20
1	0	1 0 0	11 36 36	0.2	-25 0 0	-0.00420645826074906 0.000102183429636584 6.89005839760566e-20
1	0	1 0 0	12 36 36	0.2	-24 0 0	-0.00456145802748782 0.000115476855858126 2.5641551136414e-20
1	0	1 0 0	13 36 36	0.2	-23 0 0	-0.00496335751391688 0.000131179050398278 -2.98151956486072e-19
1	0	1 0 0	14 36 36	0.2	-22 0 0	-0.00542079485728678 0.000149861096220366 -3.05035698194648e-20
1	0	1 0 0	15 36 36	0.2	-21 0 0	-0.0059444919180295 0.000172264488558453 0
1	0	1 0 0	16 36 36	0.2	-20 0 0	-0.006547887779566 0.000199363547657745 8.17701901597779e-20
1	0	1 0 0	17 36 36	0.2	-19 0 0	-0.00724800859537284 0.000232455327125563 -4.08634615394083e-20
1	0	1 0 0	18 36 36	0.2	-18 0 0	-0.00806668060081537 0.000273291486926593 -2.6779793660392e-19
1	0	1 0 0	19 36 36	0.2	-17 0 0	-0.00903224965865812 0.000324275487330524 -5.10046356040554e-20
1	0	1 0 0	20 36 36	0.2	-16 0 0	-0.0101820644494581 0.000388763868738762 3.21012604860581e-19
1	0	1 0 0	21 36 36	0.2	-15 0 0	-0.0115661365853175 0.000471537668045081 6.54431604970344e-20
1	0	1 0 0	22 36 36	0.2	-14 0 0	-0.0132526601855505 0.000579560127126267 7.8327095689502e-20
1	0	1 0 0	23 36 36	0.2	-13 0 0	-0.0153365530533872 0.000723231800953579 2.65081212936931e-19
1	0	1 0 0	24 36 36	0.2	-12 0 0	-0.0179530648566969 0.000918542371777461 -1.01996143790658e-19
1	0	1 0 0	25 36 36	0.2	-11 0 0	-0.0213001931415985 0.00119090838093154 1.38577702660468e-19
1	0	1 0 0	26 36 36	0.2	-10 0 0	-0.0256770522527735 0.00158233799420971 -4.33062234103308e-20
1	0	1 0 0	27 36 36	0.2	-9 0 0	-0.0315525379345618 0.0021655482221598 -1.15749633793531e-19
1	0	1 0 0	28 36 36	0.2	-8 0 0	-0.039694755615572 0.00307363445013022 -2.55784297752983e-20
1	0	1 0 0	29 36 36	0.2	-7 0 0	-0.0514300128105101 0.00456761555422647 3.26663741243187e-20
1	0	1 0 0	30 36 36	0.2	-6 0 0	-0.0691838487273552 0.00720549223280737 -1.1539238233806e-19
1	0	1 0 0	31 36 36	0.2	-5 0 0	-0.0981089072932171 0.0121747504265639 -5.2241669872471e-19
1	0	1 0 0	32 36 36	0.2	-4 0 0	-0.14630617315111 0.0243971200447494 -1.21088305808651e-18
1	0	1 0 0	33 36 36	0.2	-3 0 0	-0.188422979146901 0.0572922198968928 5.80962258659666e-17
1	0	1 0 0	34 36 36	0.2	-2 0 0	-0.851557787809807 0.0743911434507506 1.12004845578506e-17
1	0	1 0 0	35 36 36	0.2	-1 0 0	-1.95509334938669 -0.936314715377683 7.66641408645547e-18
1	0	1 0 0	36 36 36	0.2	0 0 0	-0.369571958327416 -0.016386179047601 2.08909944602869e-18
1	0	1 0 0	37 36 36	0.2	1 0 0	0.503185211545693 0.0616534931472888 8.09593862816923e-19
1	0	1 0 0	38 36 36	0.2	2 0 0	0.743883534219904 0.0930475093295234 9.68321169865918e-19
1	0	1 0 0	39 36 36	0.2	3 0 0	0.4539661472798 0.0641624632563071 4.9535115145527e-19


