# Scalar ASCII output created by CarpetIOScalar
# created on kop28.datura.admin by hoppese on Aug 01 2013 at 18:36:36+0200
# parameter filename: "/lustre/datura/hoppese/simulations/bbhCart2-AEI_Gauss/output-0000/bbhCart2-AEI_Gauss.par"
# Build ID: build-sim-datura-hoppese-2013.08.01-16.22.29-21953
# Simulation ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
# Run ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
22528 31.68 6639 3 -289 0 0 22 -1208 1281 4 12
22784 32.04 6639 3 -289 0 0 22 -1194 1320 4 12
23040 32.4 6639 3 -289 0 0 22 -1131 1339 4 12
23296 32.76 6639 3 -289 0 0 22 -1088 1353 4 12
23552 33.12 6639 3 -289 0 0 22 -1059 1403 4 12
23808 33.48 6639 3 -289 0 0 22 -1007 1407 4 12
24064 33.84 6639 3 -289 0 0 22 -973 1430 4 12
24320 34.2 6639 3 -289 0 0 22 -945 1482 4 12
24576 34.56 6639 3 -289 0 0 22 -745 1750 4 12
24832 34.92 6639 3 -289 0 0 22 2033 1772 4 12
25088 35.28 6713 3 -289 0 0 95 2037 1769 4 12
25344 35.64 6639 3 -289 0 0 22 2028 1778 4 12
25600 36 6639 3 -289 0 0 22 2041 1764 4 12
25856 36.36 6639 3 -289 0 0 22 2037 1768 4 12
26112 36.72 6713 3 -289 0 0 96 -1003 1551 4 12
26368 37.08 6639 3 -289 0 0 22 -926 1584 4 12
26624 37.44 6639 3 -289 0 0 22 -905 1590 4 12
26880 37.8 6639 3 -289 0 0 22 -865 1603 4 12
27136 38.16 6639 3 -289 0 0 22 -855 1623 4 12
27392 38.52 6639 3 -289 0 0 22 -828 1627 4 12
27648 38.88 6639 3 -289 0 0 22 -839 1656 4 12
27904 39.24 6639 3 -289 0 0 22 -802 1677 4 12
28160 39.6 6639 3 -289 0 0 22 -802 1692 4 12
28416 39.96 6639 3 -289 0 0 22 -791 1721 4 12
28672 40.32 6639 3 -289 0 0 22 -772 1725 4 12
28928 40.68 6639 3 -289 0 0 22 -777 1756 4 12
29184 41.04 6639 3 -289 0 0 22 2032 1774 4 12
29440 41.4 6639 3 -289 0 0 22 2023 1782 4 12
29696 41.76 6639 3 -289 0 0 22 2016 1790 4 12
29952 42.12 6639 3 -289 0 0 22 2005 1800 4 12
30208 42.48 6639 3 -289 0 0 22 1966 1840 4 12
30464 42.84 6639 3 -289 0 0 22 1962 1843 4 12
30720 43.2 6639 3 -289 0 0 22 1951 1855 4 12
30976 43.56 6639 3 -289 0 0 22 1941 1864 4 12
31232 43.92 6639 3 -289 0 0 22 1934 1871 4 12
31488 44.28 6639 3 -289 0 0 22 1927 1879 4 12
31744 44.64 6821 3 -289 0 0 203 1919 1886 4 12
32000 45 6639 3 -289 0 0 22 1897 1908 4 12
32256 45.36 6639 3 -289 0 0 22 1890 1915 4 12
32512 45.72 6639 3 -289 0 0 22 1877 1928 4 12
32768 46.08 6639 3 -289 0 0 22 1887 1918 4 12
33024 46.44 6639 3 -289 0 0 22 1868 1937 4 12
33280 46.8 6639 3 -289 0 0 22 1859 1946 4 12
33536 47.16 6639 3 -289 0 0 22 1852 1953 4 12
33792 47.52 6639 3 -289 0 0 22 1830 1976 4 12
34048 47.88 6639 3 -289 0 0 22 -894 1527 4 12
34304 48.24 6639 3 -289 0 0 22 -903 1539 4 12
34560 48.6 6639 3 -289 0 0 22 -920 1561 4 12
34816 48.96 6639 3 -289 0 0 22 -920 1564 4 12
35072 49.32 6742 3 -289 0 0 124 -1021 1578 4 12
35328 49.68 6639 3 -289 0 0 22 -894 1567 4 12
35584 50.04 6639 3 -289 0 0 22 -928 1596 4 12
35840 50.4 6639 3 -289 0 0 22 -937 1608 4 12
36096 50.76 6639 3 -289 0 0 22 -1399 1109 4 12
36352 51.12 6639 3 -289 0 0 22 -1416 1126 4 12
